timestamp,ip,protocol,port,hostname,tag,asn,geo,region,city,naics,sic,programs,mountd_port,exports,sector
09/02/2017 06:58,192.168.34.33,udp,111,,portmapper,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 32777/udp; 100024 1 32775/udp; 100133 1 32777/udp; 100133 1 32775/udp; 100021 1 4045/udp; 100021 2 4045/udp; 100021 3 4045/udp; 100021 4 4045/udp; 100021 1 4045/udp; 100021 2 4045/udp; 100021 3 4045/udp; 100021 4 4045/udp; 100005 1 32786/udp; 100005 2 32786/udp; 100005 3 32786/udp; 100005 1 32782/udp; 100005 2 32782/udp; 100005 3 32782/udp; 100003 2 2049/udp; 100003 3 2049/udp; 100227 2 2049/udp; 100227 3 2049/udp; 100003 2 2049/udp; 100003 3 2049/udp; 100227 2 2049/udp; 100227 3 2049/udp;,32786,/usr/local balam copan itza kinich labna muyal tikal tolouse uxmal xelha zazil;/export/home akbal cimi chac copan galadriel kay kayab kinich labna manik maya meyahil mixtli muyal pionera tikal tula uxmal xelha tolouse zazil;/export/home0 copan galadriel kayab kinich labna maya muyal pionera tikal tula uxmal xelha zazil;/export/home1 cimi copan galadriel hozanek kay kayab kinich labna maya muyal pionera tikal tula uxmal xelha zazil;/export/home2 copan galadriel kayab kinich labna maya muyal pionera tikal tula uxmal xelha zazil;/export/home3 cimi coba kayab itzamna kinich labna maya mixtli muyal manik quiche sacbe tikal tula uxmal yumkax zazil huracanvirt1;/var/apache/htdocs cimi;,Information Technology
09/02/2017 05:15,192.168.34.57,udp,111,,portmapper,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 38566/udp; 100024 1 37661/udp;,,,Information Technology
09/02/2017 07:26,192.168.34.158,udp,111,,portmapper,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100083 1 32771/udp; 100068 2 32772/udp; 100068 3 32772/udp; 100068 4 32772/udp; 100068 5 32772/udp; 100229 1 32772/udp; 100229 2 32772/udp; 100230 1 32773/udp; 100242 1 32774/udp; 100001 2 32773/udp; 100001 3 32773/udp; 100001 4 32773/udp; 100422 1 32775/udp; 100024 1 32774/udp; 100024 1 32776/udp; 100133 1 32774/udp; 100133 1 32776/udp; 100021 1 4045/udp; 100021 2 4045/udp; 100021 3 4045/udp; 100021 4 4045/udp; 100021 1 4045/udp; 100021 2 4045/udp; 100021 3 4045/udp; 100021 4 4045/udp; 100005 1 32775/udp; 100005 2 32775/udp; 100005 3 32775/udp; 100005 1 32779/udp; 100005 2 32779/udp; 100005 3 32779/udp; 100003 2 2049/udp; 100003 3 2049/udp; 100227 2 2049/udp; 100227 3 2049/udp; 100003 2 2049/udp; 100003 3 2049/udp; 100227 2 2049/udp; 100227 3 2049/udp; 300598 1 32777/udp; 300598 1 32781/udp; 805306368 1 32777/udp; 805306368 1 32781/udp; 100249 1 32778/udp; 100249 1 32782/udp;,32775,/export/home cimi itzamna kay kinich labna manik maya mixtli tikal zazil;,Information Technology
09/02/2017 06:23,192.168.34.161,udp,111,,portmapper,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,100005 1 34862/udp; 100003 2 2049/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 3 34861/udp; 100000 2 34861/udp;,34862,/hpmnt/dsk_ram0;,Information Technology
09/02/2017 05:47,192.168.34.206,udp,111,,portmapper,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,100005 1 34862/udp; 100005 1 34862/udp; 100003 2 2049/udp; 100003 2 2049/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 3 34861/udp; 100000 2 34861/udp; 100000 3 34861/udp; 100000 2 34861/udp;,,,Information Technology
09/02/2017 06:19,192.168.34.219,udp,111,,portmapper,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100083 1 32771/udp; 100068 2 32772/udp; 100068 3 32772/udp; 100068 4 32772/udp; 100068 5 32772/udp; 300326 4 32772/udp; 100024 1 32773/udp; 100024 1 32773/udp; 100133 1 32773/udp; 100133 1 32773/udp; 100021 1 4045/udp; 100021 2 4045/udp; 100021 3 4045/udp; 100021 4 4045/udp; 100021 1 4045/udp; 100021 2 4045/udp; 100021 3 4045/udp; 100021 4 4045/udp; 100005 1 32804/udp; 100005 2 32804/udp; 100005 3 32804/udp; 100005 1 32781/udp; 100005 2 32781/udp; 100005 3 32781/udp; 100003 2 2049/udp; 100003 3 2049/udp; 100227 2 2049/udp; 100227 3 2049/udp; 100003 2 2049/udp; 100003 3 2049/udp; 100227 2 2049/udp; 100227 3 2049/udp; 300598 1 32808/udp; 300598 1 32783/udp; 805306368 1 32808/udp; 805306368 1 32783/udp; 100249 1 32809/udp; 100249 1 32784/udp; 1289637086 5 32785/udp; 1289637086 1 32785/udp;,32804,/export/internal_use chip-chip coba edzna galadriel itzamna kay kayab kayab_cluster kinich labna luca maya meyahil_cluster muyal pablo pakal pcpab polivares puerto quiche sacbe coba tajin_cluster tepozteco tula xelha zazil c1-0 c1-1 c1-2 c1-3 c1-4 c1-5 c1-6 c1-7 c1-8 c1-9 c1-10 c1-11 c1-12 c1-13 teide zebra charly gandalf head murazaki balam palenque;/export/space balam blue chip-chip edzna galadriel itza itzamna kayab kayab_cluster labna kinich maya muyal pablo pakal perla pionera puerto quiche sacbe tajin_cluster tikal tepoztecao tolouse tula xelha zazil c1-0 c1-1 c1-2 c1-3 c1-4 c1-5 c1-6 c1-7 c1-8 c1-9 c1-10 c1-11 c1-12 c1-13 zebra gandalf head murazaki palenque polivares;/export/home0 akbal itzamna cimi kayab kayab_cluster kinich mixtli uxmal zazil c1-0 c1-1 c1-2 c1-3 c1-4 c1-5 c1-6 c1-7 c1-8 c1-9 c1-10 c1-11 c1-12 c1-13;/export/home1 bonampak cimi chip-chip coba edzna itzamna kinich maya tajin uxmal zazil kayab kayab_cluster c1-0 c1-1 c1-2 c1-3 c1-4 c1-5 c1-6 c1-7 c1-8 c1-9 c1-10 c1-11 c1-12 c1-13 manik;/export/home2 akbal annie biblio27 bonampak cimi chac coba edzna galadriel kay kayab kayab_cluster kinich itzamna labna manik maya mitla mixtli muyal pakal palenque puerto quiche sacbe tula uxmal xelha zazil c1-0 c1-1 c1-2 c1-3 c1-4 c1-5 c1-6 c1-7 c1-8 c1-9 c1-10 c1-11 c1-12 c1-13;,Information Technology
09/02/2017 05:26,192.168.34.233,udp,111,,portmapper,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,100005 1 34862/udp; 100003 2 2049/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 3 34861/udp; 100000 2 34861/udp;,34862,/hpmnt/dsk_ram0;,Information Technology
09/02/2017 06:28,192.168.37.102,udp,111,,portmapper,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,100000 2 111/udp; 100000 3 111/udp; 100000 4 111/udp; 100000 2 111/udp; 100000 3 111/udp; 100000 4 111/udp; 100005 1 1048/udp; 100005 2 1048/udp; 100005 3 1048/udp; 100005 1 1048/udp; 100005 2 1048/udp; 100005 3 1048/udp; 100021 1 1047/udp; 100021 2 1047/udp; 100021 3 1047/udp; 100021 4 1047/udp; 100021 1 1047/udp; 100021 2 1047/udp; 100021 3 1047/udp; 100021 4 1047/udp; 100024 1 1039/udp; 100024 1 1039/udp; 100003 2 2049/udp; 100003 3 2049/udp; 100003 2 2049/udp; 100003 3 2049/udp;,,,Information Technology
09/02/2017 05:33,192.168.37.103,udp,111,,portmapper,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,100000 2 111/udp; 100000 3 111/udp; 100000 4 111/udp; 100000 2 111/udp; 100000 3 111/udp; 100000 4 111/udp; 100003 2 2049/udp; 100003 3 2049/udp; 100003 2 2049/udp; 100003 3 2049/udp; 100003 4 2049/udp; 100005 1 2049/udp; 100005 2 2049/udp; 100005 3 2049/udp; 100005 1 2049/udp; 100005 2 2049/udp; 100005 3 2049/udp; 100021 1 2049/udp; 100021 2 2049/udp; 100021 3 2049/udp; 100021 4 2049/udp; 100021 1 2049/udp; 100021 2 2049/udp; 100021 3 2049/udp; 100021 4 2049/udp; 100024 1 2049/udp; 100024 1 2049/udp;,,,Information Technology
09/02/2017 05:43,192.168.37.188,udp,111,,portmapper,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,100000 2 111/udp; 100000 3 111/udp; 100000 4 111/udp; 100000 2 111/udp; 100000 3 111/udp; 100000 4 111/udp; 100003 2 2049/udp; 100003 3 2049/udp; 100003 2 2049/udp; 100003 3 2049/udp; 100003 4 2049/udp; 100005 1 2049/udp; 100005 2 2049/udp; 100005 3 2049/udp; 100005 1 2049/udp; 100005 2 2049/udp; 100005 3 2049/udp; 100021 1 2049/udp; 100021 2 2049/udp; 100021 3 2049/udp; 100021 4 2049/udp; 100021 1 2049/udp; 100021 2 2049/udp; 100021 3 2049/udp; 100021 4 2049/udp; 100024 1 2049/udp; 100024 1 2049/udp;,,,Information Technology
09/02/2017 06:39,192.168.38.4,udp,111,,portmapper,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100021 1 4045/udp; 100021 2 4045/udp; 100021 3 4045/udp; 100021 4 4045/udp; 100021 1 4045/udp; 100021 2 4045/udp; 100021 3 4045/udp; 100021 4 4045/udp; 100024 1 59352/udp; 100024 1 54548/udp; 100133 1 59352/udp; 100133 1 54548/udp;,,,Information Technology
09/02/2017 06:12,192.168.38.7,udp,111,,portmapper,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100068 2 32772/udp; 100068 3 32772/udp; 100068 4 32772/udp; 100068 5 32772/udp; 100083 1 32773/udp;,,,Information Technology
09/02/2017 06:48,192.168.38.8,udp,111,,portmapper,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100021 1 4045/udp; 100021 2 4045/udp; 100021 3 4045/udp; 100021 4 4045/udp; 100021 1 4045/udp; 100021 2 4045/udp; 100021 3 4045/udp; 100021 4 4045/udp; 100024 1 45874/udp; 100024 1 43689/udp; 100133 1 45874/udp; 100133 1 43689/udp;,,,Information Technology
09/02/2017 06:32,192.168.38.24,udp,111,,portmapper,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100021 1 4045/udp; 100021 2 4045/udp; 100021 3 4045/udp; 100021 4 4045/udp; 100021 1 4045/udp; 100021 2 4045/udp; 100021 3 4045/udp; 100021 4 4045/udp; 1073741824 1 58248/udp; 100024 1 54993/udp; 100024 1 41411/udp; 100133 1 54993/udp; 100133 1 41411/udp;,,,Information Technology
