timestamp,ip,protocol,port,hostname,tag,header,asn,geo,region,city,systime,cache_control,location,server,search_target,unique_service_name,host,nts,nt,naics,sic,sector
09/02/2017 10:19,192.168.214.195,udp,60623,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,"Thu, 09 Feb 2017 04:21:50 GMT",max-age=3600,,"Linux/2.6.38.8, UPnP/1.0, Portable SDK for UPnP devices/1.6.17",upnp:rootdevice,uuid:Upnp-DS-2CD2232-I5-1_0-488039100::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 09:18,192.168.214.203,udp,55997,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,"Thu, 09 Feb 2017 03:20:25 GMT",max-age=3600,,"Linux/2.6.38.8, UPnP/1.0, Portable SDK for UPnP devices/1.6.17",upnp:rootdevice,uuid:Upnp-DS-2CD2232-I5-1_0-488039227::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 09:22,192.168.214.210,udp,53940,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,"Thu, 09 Feb 2017 03:24:27 GMT",max-age=3600,,"Linux/2.6.38.8, UPnP/1.0, Portable SDK for UPnP devices/1.6.17",upnp:rootdevice,uuid:Upnp-DS-2CD2232-I5-1_0-488039052::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 09:11,192.168.214.211,udp,47361,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,"Thu, 09 Feb 2017 03:13:35 GMT",max-age=3600,,"Linux/2.6.38.8, UPnP/1.0, Portable SDK for UPnP devices/1.6.17",upnp:rootdevice,uuid:Upnp-DS-2CD2232-I5-1_0-488039243::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 09:17,192.168.214.220,udp,51324,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,"Thu, 09 Feb 2017 03:19:49 GMT",max-age=3600,,"Linux/2.6.38.8, UPnP/1.0, Portable SDK for UPnP devices/1.6.17",upnp:rootdevice,uuid:Upnp-DS-2CD2232-I5-1_0-488039048::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 10:50,192.168.214.221,udp,34607,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,"Thu, 09 Feb 2017 04:53:10 GMT",max-age=3600,,"Linux/2.6.38.8, UPnP/1.0, Portable SDK for UPnP devices/1.6.17",upnp:rootdevice,uuid:Upnp-DS-2CD2232-I5-1_0-488039121::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 11:11,192.168.214.228,udp,51316,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,"Thu, 09 Feb 2017 05:11:45 GMT",max-age=3600,,"Linux/2.6.38.8, UPnP/1.0, Portable SDK for UPnP devices/1.6.17",upnp:rootdevice,uuid:Upnp-DS-2CD2232-I5-1_0-488038976::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 09:59,192.168.214.229,udp,55500,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,"Thu, 09 Feb 2017 03:59:24 GMT",max-age=3600,,"Linux/2.6.38.8, UPnP/1.0, Portable SDK for UPnP devices/1.6.17",upnp:rootdevice,uuid:Upnp-DS-2CD2232-I5-1_0-488039234::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 10:49,192.168.220.220,udp,1900,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,,max-age=1800,,OS 1.0 UPnP/1.0 Realtek/V1.3,upnp:rootdevice,uuid:63041253-1019-2006-1228-801f02599c8c::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 10:53,192.168.233.25,udp,45994,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,"Thu, 09 Feb 2017 10:53:28 GMT",max-age=1801,,"Unspecified, UPnP/1.0, Unspecified",upnp:rootdevice,uuid:e39e69c3-322a-9eee-acaf-d81a3f073483::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 09:21,192.168.243.82,udp,58284,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,"Thu, 09 Feb 2017 13:32:16 GMT",max-age=1800,,"Linux/2.6.35+, UPnP/1.0, Portable SDK for UPnP devices/1.4.1",upnp:rootdevice,uuid:Upnp-BasicDevice-1_0-00408CDB7228::upnp:rootdevice,,,,0,0,Information Technology
