timestamp,ip,protocol,port,hostname,tag,mac_address,asn,geo,region,city,workgroup,machine_name,username,naics,sic,sector
09/02/2017 03:19,192.168.208.57,udp,137,,netbios,A0-36-9F-65-4D-34,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,DAQPC,BEC985,0,0,Information Technology
09/02/2017 02:21,192.168.210.149,udp,1022,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,NPIECEA76,BEC986,0,0,Information Technology
09/02/2017 03:28,192.168.211.50,udp,137,,netbios,00-01-02-2A-53-D8,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,UNAM-EC3EFDE4CF,BEC987,0,0,Information Technology
09/02/2017 02:31,192.168.211.94,udp,137,,netbios,24-BE-05-02-22-62,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,BIBLIOTECA-PC,BEC988,0,0,Information Technology
09/02/2017 03:08,192.168.211.149,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,VIGILANCIA-SYST,BEC989,0,0,Information Technology
09/02/2017 02:25,192.168.213.12,udp,137,,netbios,00-1E-4F-3B-02-69,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,VIDEOENTS,BEC990,0,0,Information Technology
09/02/2017 01:37,192.168.215.12,udp,137,,netbios,B8-CA-3A-91-8C-0F,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,SATURNO2-PC,BEC991,0,0,Information Technology
09/02/2017 02:40,192.168.215.21,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,LACIE-2,BEC992,0,0,Information Technology
09/02/2017 01:39,192.168.215.28,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,MACBOOKPRO-F843,BEC993,0,0,Information Technology
09/02/2017 03:30,192.168.215.37,udp,137,,netbios,6C-AE-8B-40-91-3A,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,MASSSTORE,BEC994,0,0,Information Technology
09/02/2017 02:37,192.168.215.40,udp,137,,netbios,00-1A-A0-2E-85-93,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,PRODUCCION1,BEC995,0,0,Information Technology
09/02/2017 02:17,192.168.215.42,udp,137,,netbios,00-25-36-CE-AA-F0,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,C911-CEAAF0,BEC996,0,0,Information Technology
09/02/2017 03:10,192.168.215.210,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,NATALIA,BEC997,0,0,Information Technology
09/02/2017 02:34,192.168.215.237,udp,137,,netbios,B8-CA-3A-91-90-EF,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,KAREN-PC,BEC998,0,0,Information Technology
09/02/2017 01:53,192.168.215.239,udp,137,,netbios,D4-BE-D9-CA-1B-43,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,PRODLIZBETH,BEC999,0,0,Information Technology
09/02/2017 01:30,192.168.215.249,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,MARTE,BEC1000,0,0,Information Technology
09/02/2017 02:57,192.168.220.216,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,QUICHE,BEC1001,0,0,Information Technology
09/02/2017 01:27,192.168.221.160,udp,137,,netbios,20-25-64-74-44-B9,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,F5-03,BEC1002,0,0,Information Technology
09/02/2017 01:20,192.168.221.198,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,SOFTWARE,BEC1003,0,0,Information Technology
09/02/2017 01:15,192.168.222.249,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,NAS-CVIC,BEC1004,0,0,Information Technology
09/02/2017 03:25,192.168.223.4,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,DIPT-MYCLOUD,BEC1005,0,0,Information Technology
09/02/2017 01:36,192.168.223.15,udp,1022,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,NPI10C6EF,BEC1006,0,0,Information Technology
09/02/2017 03:18,192.168.223.42,udp,1022,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,NPI299BFE,BEC1007,0,0,Information Technology
09/02/2017 03:09,192.168.223.59,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,HPF3A401,BEC1008,0,0,Information Technology
09/02/2017 02:02,192.168.223.95,udp,137,,netbios,00-22-4D-82-36-11,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,UNAM-PC,BEC1009,0,0,Information Technology
09/02/2017 01:28,192.168.223.186,udp,1022,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,NPI026ED0,BEC1010,0,0,Information Technology
09/02/2017 01:53,192.168.223.198,udp,1022,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,HP7C4447,BEC1011,0,0,Information Technology
09/02/2017 02:49,192.168.225.25,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,PAIDEA,BEC1012,0,0,Information Technology
09/02/2017 03:34,192.168.225.29,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,VIGILANCIA,BEC1013,0,0,Information Technology
