timestamp,ip,protocol,port,hostname,tag,version,asn,geo,region,city,naics,sic,server_name,instance_name,tcp_port,named_pipe,response_length,amplification,sector
09/02/2017 08:32,10.108.143.120,udp,1434,,mssql,9.00.5000.00,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,CITRIX35,SQLEXPRESS,49180,\\WIN-PBSI11g\pipe\MSSQL$SQLEXPRESS\sql\query,232,5.16,Information Technology
09/02/2017 09:19,10.108.143.173,udp,1434,,mssql,11.0.2100.60,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,CITRIX36,VERITRAX,60790,\\WIN-PBSI11g\pipe\MSSQL$SQLEXPRESS\sql\query,232,5.16,Information Technology
09/02/2017 08:10,10.108.161.2,udp,1434,,mssql,9.00.5000.00,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,CITRIX37,SQLEXPRESS,0,\\WIN-PBSI11g\pipe\MSSQL$SQLEXPRESS\sql\query,476,10.58,Information Technology
09/02/2017 08:11,10.108.161.73,udp,1434,,mssql,9.00.4035.00,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,CITRIX38,MSSQLSERVER,1433,\\WIN-PBSI11g\pipe\MSSQL$SQLEXPRESS\sql\query,306,6.8,Information Technology
09/02/2017 07:55,10.108.174.29,udp,1434,,mssql,9.00.4035.00,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,CITRIX39,CH,1433,\\WIN-PBSI11g\pipe\MSSQL$SQLEXPRESS\sql\query,274,6.09,Information Technology
09/02/2017 08:04,10.108.174.125,udp,1434,,mssql,9.00.5000.00,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,CITRIX40,MSSQLSERVER,1433,\\WIN-PBSI11g\pipe\MSSQL$SQLEXPRESS\sql\query,236,5.24,Information Technology
09/02/2017 08:19,10.108.181.214,udp,1434,,mssql,11.0.3000.0,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,CITRIX41,SQLEXPRESS,1433,\\WIN-PBSI11g\pipe\MSSQL$SQLEXPRESS\sql\query,242,5.38,Information Technology
09/02/2017 09:28,10.108.182.143,udp,1434,,mssql,8.00.194,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,CITRIX42,MSSQLSERVER,1433,\\WIN-PBSI11g\pipe\MSSQL$SQLEXPRESS\sql\query,300,6.67,Information Technology
09/02/2017 08:00,10.108.200.185,udp,1434,,mssql,11.0.3000.0,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,CITRIX43,VEEAMSQL2012,29724,\\WIN-PBSI11g\pipe\MSSQL$SQLEXPRESS\sql\query,326,7.24,Information Technology
09/02/2017 08:44,10.108.215.12,udp,1434,,mssql,9.00.4035.00,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,CITRIX44,SQLEXPRESS,1433,\\WIN-PBSI11g\pipe\MSSQL$SQLEXPRESS\sql\query,236,5.24,Information Technology
09/02/2017 09:32,10.108.215.205,udp,1434,,mssql,10.50.2500.0,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,CITRIX45,SOLARWINDS_ORION,0,\\WIN-PBSI11g\pipe\MSSQL$SQLEXPRESS\sql\query,226,5.02,Information Technology
09/02/2017 08:54,10.108.234.161,udp,1434,,mssql,10.50.2500.0,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,CITRIX46,VIDEOOSDB,49242,\\WIN-PBSI11g\pipe\MSSQL$SQLEXPRESS\sql\query,226,5.02,Information Technology
09/02/2017 08:08,10.108.235.7,udp,1434,,mssql,10.50.2500.0,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,CITRIX47,MSSQLSERVER,1433,\\WIN-PBSI11g\pipe\MSSQL$SQLEXPRESS\sql\query,230,5.11,Information Technology
09/02/2017 08:13,10.108.235.139,udp,1434,,mssql,10.0.5500.0,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,CITRIX48,COMPAC,52947,\\WIN-PBSI11g\pipe\MSSQL$SQLEXPRESS\sql\query,326,7.24,Information Technology
09/02/2017 08:11,10.108.246.32,udp,1434,,mssql,12.0.4100.1,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,CITRIX49,MSSQLSERVER,1433,\\WIN-PBSI11g\pipe\MSSQL$SQLEXPRESS\sql\query,280,6.22,Information Technology
09/02/2017 09:12,10.108.246.38,udp,1434,,mssql,10.50.4000.0,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,CITRIX50,ERASQL,14222,\\WIN-PBSI11g\pipe\MSSQL$SQLEXPRESS\sql\query,218,4.84,Information Technology
09/02/2017 08:01,10.108.246.70,udp,1434,,mssql,9.00.5000.00,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,CITRIX51,SQLEXPRESS,2382,\\WIN-PBSI11g\pipe\MSSQL$SQLEXPRESS\sql\query,374,8.31,Information Technology
